product_id,category,gender,product_url,product_name,brand,price,original_price,discount_percent,rating,reviews,price_tier,image_url,image_path,source_platform
700978966_silver,Shoes,Women,/max-women-strappy-kitten-heels/p/700978966_silver?,Women Strappy Kitten Heels,MAX,689.0,,(31% off),0,0,affordable,,,Ajio
701436729_grey,Shoes,Women,/shezone-women-embellished-thong-strap-flat-sandals-/p/701436729_grey?,Women Embellished Thong-Strap Flat Sandals,SHEZONE,480.0,,(76% off),0,0,affordable,,,Ajio
701328675_tan,Shoes,Women,/padchin-women-wedges-with-pu-upper/p/701328675_tan?,Women Wedges With PU Upper,Padchin,1191.0,,(54% off),0,0,affordable,,,Ajio
701445017_black,Shoes,Women,/red-tape-women-ankle-length-chelsea-boots/p/701445017_black?,Women Ankle Length Chelsea Boots,RED TAPE,1600.0,,(84% off),0,0,affordable,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250411/FMgO/67f94cbc7a6cd4182fc3faa5/red_tape_black_women_ankle_length_chelsea_boots.jpg,,Ajio
701477822_brown,Shoes,Women,/red-tape-women-ankle-length-boots-with-genuine-leather-upper/p/701477822_brown?,Women Ankle-Length Boots with Genuine leather upper,RED TAPE,1600.0,,(84% off),0,0,affordable,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250420/jjTf/6804de5f55340d4b4fe976c6/red_tape_brown_women_ankle-length_boots_with_genuine_leather_upper.jpg,,Ajio
701442206_offwhite,Shoes,Women,/red-tape-women-round-toe-slip-on-ankle-length-boots-/p/701442206_offwhite?,Women Round-Toe Slip-On Ankle-Length Boots,RED TAPE,1696.0,,(84% off),0,0,affordable,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250411/hZwu/67f9209055340d4b4fc9737d/red_tape_off_white_women_round-toe_slip-on_ankle-length_boots.jpg,,Ajio
701442207_black,Shoes,Women,/red-tape-women-round-toe-ankle-length-boots-/p/701442207_black?,Women Round-Toe Ankle-Length Boots,RED TAPE,1712.0,,(84% off),0,0,affordable,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250411/ak8W/67f91f5455340d4b4fc94777/red_tape_black_women_round-toe_ankle-length_boots.jpg,,Ajio
700411662_black,Shoes,Women,/shoetopia-women-ankle-length-boots-with-zip-closure/p/700411662_black?,Women Ankle-Length Boots with Zip Closure,Shoetopia,826.0,,(72% off),0,0,affordable,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240911/o62o/66e1c8621d763220fade4cac/shoetopia_black_women_ankle-length_boots_with_zip_closure.jpg,,Ajio
700284718_black,Shoes,Women,/truffle-collection-ankle-length-boots-with-zip-closure/p/700284718_black?,Ankle-Length Boots with Zip Closure,Truffle collection,2759.0,,(40% off),0,0,affordable,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240813/8ZOS/66bb48fd1d763220fa76181b/truffle_collection_black_ankle-length_boots_with_zip_closure.jpg,,Ajio
700567879_black,Shoes,Women,/fashion-victim-boots-with-pu-upper/p/700567879_black?,Boots with PU upper,FASHION VICTIM,800.0,,(80% off),0,0,affordable,,,Ajio
701445018_brown,Shoes,Women,/red-tape-women-ankle-length-chelsea-boots/p/701445018_brown?,Women Ankle Length Chelsea Boots,RED TAPE,1712.0,,(84% off),0,0,affordable,,,Ajio
701145837_beige,Shoes,Women,/london-rag-women-boots-with-synthetic-upper/p/701145837_beige?,Women Boots with Synthetic Upper,LONDON RAG,5849.0,,(35% off),0,0,mid,,,Ajio
469684370_tan,Shoes,Women,/arbunore-women-ankle-length-boots-with-chain-accent/p/469684370_tan?,Women Ankle-Length Boots with Chain Accent,ARBUNORE,600.0,,(85% off),0,0,affordable,,,Ajio
469684362_taupe,Shoes,Women,/arbunore-women-ankle-length-boots-with-zip-closure/p/469684362_taupe?,Women Ankle-Length Boots with Zip Closure,ARBUNORE,555.0,,(85% off),0,0,affordable,,,Ajio
701134171_beige,Shoes,Women,/london-rag-women-embellished-pointed-toe-heeled-calf-boots/p/701134171_beige?,Women Embellished Pointed-Toe Heeled Calf Boots,LONDON RAG,5914.0,,(35% off),0,0,mid,,,Ajio
450164020_brown,Shoes,Women,/lee-cooper-women-bow-accent-block-heeled-boots/p/450164020_brown?,Women Bow-Accent Block Heeled Boots,Lee Cooper,990.0,,(70% off),0,0,affordable,,,Ajio
469684362_black,Shoes,Women,/arbunore-women-ankle-length-boots-with-zip-closure/p/469684362_black?,Women Ankle-Length Boots with Zip Closure,ARBUNORE,555.0,,(85% off),0,0,affordable,,,Ajio
701365565_brown,Shoes,Women,/carlo-romano-women-ankle-length-boots-with-leather-upper/p/701365565_brown?,Women Ankle-Length Boots with Leather Upper,CARLO ROMANO,2175.0,,(71% off),0,0,affordable,,,Ajio
700912539_black,Shoes,Women,/carlton-london-women-round-toe-mid-calf-boots/p/700912539_black?,Women Round-Toe Mid-Calf Boots,Carlton London,2750.0,,(50% off),0,0,affordable,,,Ajio
700533569_black,Shoes,Women,/delize-women-knee-length-boots-/p/700533569_black?,Women Knee-Length Boots,DELIZE,3150.0,,(55% off),0,0,mid,,,Ajio
700675529_tan,Shoes,Women,/yoho-women-knee-length-detachable-boots/p/700675529_tan?,Women Knee-Length Detachable Boots,YOHO,2599.0,,(35% off),0,0,affordable,,,Ajio
450165306_brown,Shoes,Women,/catwalk-women-ankle-length-boots-with-zip-closure/p/450165306_brown?,Women Ankle-Length Boots with Zip Closure,CATWALK,1109.0,,(70% off),0,0,affordable,,,Ajio
700103232_black,Shoes,Women,/sherrif-round-toe-boot-with-slip-on-styling/p/700103232_black?,Round-Toe Boot with Slip-On Styling,SHERRIF,3248.0,,(50% off),0,0,mid,,,Ajio
700675518_black,Shoes,Women,/yoho-women-knee-length-detachable-boots/p/700675518_black?,Women Knee-Length Detachable Boots,YOHO,2599.0,,(35% off),0,0,affordable,,,Ajio
701445014_black,Shoes,Women,/red-tape-women-ankle-length-chelsea-boots/p/701445014_black?,Women Ankle Length Chelsea Boots,RED TAPE,1696.0,,(84% off),0,0,affordable,,,Ajio
700657295_black,Shoes,Women,/michael-angelo-women-boots-with-synthetic-upper/p/700657295_black?,Women Boots with Synthetic Upper,MICHAEL ANGELO,2648.0,,(62% off),0,0,affordable,,,Ajio
700528017_tan,Shoes,Women,/selfiee-women-boots-with-faux-leather-upper/p/700528017_tan?,Women Boots with Faux leather upper,Selfiee,860.0,,(57% off),0,0,affordable,,,Ajio
701576507_burgundy,Shoes,Women,/red-tape-women-ankle-length-boots-with-zip-closure/p/701576507_burgundy?,Women Ankle-Length Boots with Zip Closure,RED TAPE,1776.0,,(84% off),0,0,affordable,,,Ajio
700882640_brown,Shoes,Women,/delize-women-round-toe-knee-length-boots/p/700882640_brown?,Women Round-Toe Knee-Length Boots,DELIZE,3220.0,,(54% off),0,0,mid,,,Ajio
700130662_black,Shoes,Women,/selfiee-women-ankle-length-boots-with-zip-closure/p/700130662_black?,Women Ankle-Length Boots with Zip-Closure,Selfiee,855.0,,(62% off),0,0,affordable,,,Ajio
702012990_black,Shoes,Women,/fyre-rose-women-regular-fit-booties-with-round-toes/p/702012990_black?,Women Regular Fit Booties with Round Toes,Fyre Rose,437.0,,(77% off),0,0,affordable,,,Ajio
450167744_darktan,Shoes,Women,/lee-cooper-women-ankle-length-boots/p/450167744_darktan?,Women Ankle-Length Boots,Lee Cooper,1200.0,,(70% off),0,0,affordable,,,Ajio
467283328_black,Shoes,Women,/selfiee-women-knee-length-slip-on-boots/p/467283328_black?,Women Knee-Length Slip-On Boots,Selfiee,580.0,,(71% off),0,0,affordable,,,Ajio
701544489_brown,Shoes,Women,/red-tape-women-ankle-length-boots-with-leather-upper/p/701544489_brown?,Women Ankle-Length Boots with Leather Upper,RED TAPE,1696.0,,(84% off),0,0,affordable,,,Ajio
461937220_black,Shoes,Women,/delize-ankle-length-boots-with-zip-closure/p/461937220_black?,Ankle-Length Boots with Zip Closure,DELIZE,2340.0,,(61% off),0,0,affordable,,,Ajio
